Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-10-02,Black Bag,2025,https://boxd.it/beXTgP,,,hotstar,2025-10-02
2025-10-03,Sinners,2025,https://boxd.it/bf3h3F,,,hotstar,2025-10-02
2025-10-03,Opus,2025,https://boxd.it/bf7hAH,,,hotstar,2025-10-02
2025-10-03,In the Mood for Love,2000,https://boxd.it/bfx36l,,Yes,cn,2025-10-03
2025-10-06,Riki-Oh: The Story of Ricky,1991,https://boxd.it/bheYrv,,,cn,2025-10-05
2025-10-06,A Page of Madness,1926,https://boxd.it/bhDIbB,,,jp,2025-10-06
2025-10-07,Crossroads,1928,https://boxd.it/bibV4L,,,jp,2025-10-07
2025-10-07,Gate of Hell,1953,https://boxd.it/bijWMb,,,jp,2025-10-07
2025-10-08,Little Miss Sunshine,2006,https://boxd.it/biov1H,,,,2025-10-07
2025-10-08,Ichi the Killer,2001,https://boxd.it/biSVOF,,,jp,2025-10-08
2025-10-10,M,1931,https://boxd.it/bjtLyV,,,"itf, de",2025-10-09
2025-10-17,Bicycle Thieves,1948,https://boxd.it/bo2rJZ,,,"itf, it",2025-10-16
2025-10-20,Close-Up,1990,https://boxd.it/bq0byZ,,,fa,2025-10-19
2025-10-20,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/bqP9pD,,,tw,2025-10-20
2025-10-21,Mommy,2014,https://boxd.it/bqVHeV,,,fc,2025-10-20
2025-10-21,TÁR,2022,https://boxd.it/br2Vjz,,,hotstar,2025-10-20
2025-10-22,The Phoenician Scheme,2025,https://boxd.it/brvpWR,,Yes,hotstar,2025-10-21
2025-10-22,After Hours,1985,https://boxd.it/bs3ZqP,,,,2025-10-22
2025-10-23,Drive,2011,https://boxd.it/bs81Gt,,,,2025-10-22
2025-10-23,Kinds of Kindness,2024,https://boxd.it/bscRQN,,,"hotstar, yorgos25",2025-10-22
2025-10-24,Primer,2004,https://boxd.it/bsNLMJ,,,,2025-10-23
2025-10-25,Fallen Angels,1995,https://boxd.it/btlJTV,,Yes,cn,2025-10-24
2025-10-28,The Killing of a Sacred Deer,2017,https://boxd.it/bvEXOr,,,yorgos25,2025-10-27
2025-10-30,A House of Dynamite,2025,https://boxd.it/bx63x5,,,netflix,2025-10-29
2025-10-31,The Favourite,2018,https://boxd.it/by1mBT,,,yorgos25,2025-10-31
2025-10-31,Bugonia,2025,https://boxd.it/bycQ3z,,,"theatre, barco, yorgos25",2025-10-31
2025-11-04,Caprice,1986,https://boxd.it/bAMRIX,,,,2025-11-03
2025-11-04,Black Phone 2,2025,https://boxd.it/bAUmxF,,,theatre,2025-11-03
2025-11-05,High Plains Drifter,1973,https://boxd.it/bBoczV,,,netflix,2025-11-04
2025-11-05,Marriage Story,2019,https://boxd.it/bBu1Xf,,,netflix,2025-11-04
2025-11-05,BlacKkKlansman,2018,https://boxd.it/bBQWe1,,,netflix,2025-11-05
2025-11-06,The Holdovers,2023,https://boxd.it/bBUrC5,,,netflix,2025-11-05
2025-11-06,Lawrence of Arabia,1962,https://boxd.it/bC1ap3,,,netflix,2025-11-05
2025-11-07,A Moment of Innocence,1996,https://boxd.it/bCXpMR,,,fa,2025-11-07
2025-11-09,Memories of Murder,2003,https://boxd.it/bDIoPT,,,kr,2025-11-08
2025-11-09,Irreversible,2002,https://boxd.it/bDQSbv,,,fr,2025-11-08
2025-11-11,Breathless,1960,https://boxd.it/bFtXIr,,,"fr, itf",2025-11-10
2025-11-14,Pather Panchali,1955,https://boxd.it/bHrKL7,,,"bn, itf",2025-11-13
2025-11-21,Where Is the Friend's House?,1987,https://boxd.it/bMcZ35,,,"fa, itf",2025-11-20
2025-12-01,A Short Story,2022,https://boxd.it/bTSZYH,,,"mubi, zh",2025-12-01
2025-12-02,Perfect Days,2023,https://boxd.it/bUv0IL,,,"jp, mubi",2025-12-02
2025-12-04,An Urban Allegory,2024,https://boxd.it/bVfElp,,,"mubi, fr",2025-12-03
2025-12-07,Puss in Boots: The Last Wish,2022,https://boxd.it/bX1nvH,,Yes,hotstar,2025-12-06
2025-12-07,A Serious Man,2009,https://boxd.it/bXgMGF,,,,2025-12-07
2025-12-08,Tale of Cinema,2005,https://boxd.it/bXZMOf,,,"mubi, kr",2025-12-07
2025-12-09,Drive My Car,2021,https://boxd.it/bYBVGv,,,"mubi, jp",2025-12-08
2025-12-09,Fallen Leaves,2023,https://boxd.it/bYFWuD,,,"mubi, fi",2025-12-08
2025-12-09,Kiss.,2022,https://boxd.it/bYIegN,,,"hi, mubi",2025-12-08
2025-12-09,Eddington,2025,https://boxd.it/bYL9w3,,,,2025-12-09
2025-12-10,The Man Without a Past,2002,https://boxd.it/bZkVxN,,,"mubi, fi",2025-12-09
2025-12-10,Leningrad Cowboys Go America,1989,https://boxd.it/bZQ6Df,,,"mubi, fi",2025-12-10
2025-12-11,The Girl with the Needle,2024,https://boxd.it/bZYXUz,,,"mubi, da",2025-12-10
2025-12-11,Following,1998,https://boxd.it/c02sCd,,,mubi,2025-12-10
2025-12-11,Dahomey,2024,https://boxd.it/c047SD,,,"mubi, fr",2025-12-10
2025-12-11,Jay Kelly,2025,https://boxd.it/c0wZcH,,,netflix,2025-12-11
2025-12-12,Train Dreams,2025,https://boxd.it/c0DnFv,,,netflix,2025-12-11
2025-12-12,Homebound,2025,https://boxd.it/c0FpSZ,,,"netflix, hi",2025-12-11
2025-12-12,Left-Handed Girl,2025,https://boxd.it/c0LX5J,,,"netflix, tw",2025-12-11
2025-12-13,The Mastermind,2025,https://boxd.it/c1drq7,,,mubi,2025-12-12
2025-12-13,La Chimera,2023,https://boxd.it/c1MeG7,,,"mubi, it",2025-12-12
2025-12-13,The History of Sound,2025,https://boxd.it/c1QWzx,,,mubi,2025-12-13
2025-12-16,"Sorry, Baby",2025,https://boxd.it/c3RVM1,,,mubi,2025-12-14
2025-12-16,Reality+,2014,https://boxd.it/c3UPaL,,,"mubi, fr",2025-12-15
2025-12-17,Kung Fu Panda,2008,https://boxd.it/c4COtl,,Yes,hotstar,2025-12-16
2025-12-28,Die My Love,2025,https://boxd.it/cglWV7,,,mubi,2025-12-27
2025-12-28,Avatar: Fire and Ash,2025,https://boxd.it/chqsC9,,,"theatre, barco, 3d",2025-12-28
2025-12-29,The Handmaiden,2016,https://boxd.it/chLIqP,,,kr,2025-12-28
2025-12-30,Decision to Leave,2022,https://boxd.it/ciL65D,,,"mubi, kr",2025-12-29
2025-12-30,"Paris, Texas",1984,https://boxd.it/ciZO2r,,,mubi,2025-12-29
2026-01-02,Another Round,2020,https://boxd.it/cmkKuZ,,,"mubi, da",2025-12-30
2026-01-04,Reprise,2006,https://boxd.it/cpzF7t,,,"mubi, no",2026-01-03
2026-01-04,"Oslo, August 31st",2011,https://boxd.it/cr0C6F,,,"mubi, no",2026-01-04
2026-01-05,The Worst Person in the World,2021,https://boxd.it/cruA1N,,,"mubi, no",2026-01-04
2026-01-09,Sentimental Value,2025,https://boxd.it/cwribp,,,no,2026-01-08
2026-01-10,The Naked Gun,2025,https://boxd.it/cy3UwF,,,prime,2026-01-10
2026-01-10,No Other Choice,2025,https://boxd.it/cyuZ4F,,,kr,2026-01-10
2026-01-12,Pickpocket,1997,https://boxd.it/cB8Myv,,,"mubi, zh",2026-01-12
2026-01-13,The Times of Harvey Milk,1984,https://boxd.it/cBe4iv,,,mubi,2026-01-12
2026-01-13,The Fall,2006,https://boxd.it/cC5EqL,,,mubi,2026-01-13
2026-01-15,Life in a Metro,2007,https://boxd.it/cDBheF,,Yes,"netflix, hi",2026-01-14
2026-01-17,It Was Just an Accident,2025,https://boxd.it/cFo0E9,,,fa,2026-01-16
2026-01-18,28 Years Later: The Bone Temple,2026,https://boxd.it/cHpSof,,,theatre,2026-01-18
2026-01-19,Uncut Gems,2019,https://boxd.it/cHNLcp,,Yes,netflix,2026-01-18
2026-01-24,Marty Supreme,2025,https://boxd.it/cMKTg9,,,"theatre, barco",2026-01-23
2026-02-02,Dhurandhar,2025,https://boxd.it/cWaKN7,,,netflix,2026-02-01
